Date,Price,Target_RV,RV_Daily,RV_Weekly,RV_Monthly,middle_east__log_fatal_ewma_94_lag0,middle_east__log_fatal_ewma_94_lag1,global__log_fatal_ewma_94_lag0,global__log_fatal_ewma_94_lag1
2016-05-03,1291.8,0.0001839038401119,9.558425970349011e-06,0.0001149832840988,9.147351778391276e-05,4.8981618963816205,4.860189584873604,5.470017082527566,5.459045381139658
2016-05-04,1274.4,2.71983902623532e-06,0.0001839038401119,0.0001454607937823,9.929530495631286e-05,4.862516088190973,4.8981618963816205,5.434784172931094,5.470017082527566
2016-05-05,1272.3,0.000286012696878,2.71983902623532e-06,0.0001136718925417,9.620249900254584e-05,4.878559045794899,4.862516088190973,5.446354389376667,5.434784172931094
2016-05-06,1294.0,0.0004580477860869,0.000286012696878,9.979854159831736e-05,0.000108186925262,4.810105680144207,4.878559045794899,5.410224351201583,5.446354389376667
2016-05-09,1266.6,2.022477023116088e-06,0.0004580477860869,0.0001880485176147,0.0001233740384307,4.7775379823934,4.810105680144207,5.371010127779358,5.410224351201583
2016-05-10,1264.8,7.096801647924867e-05,2.022477023116088e-06,0.0001865413278252,0.0001222938771423,4.755288858285652,4.7775379823934,5.370708081013908,5.371010127779358
2016-05-11,1275.5,1.1403604621144396e-05,7.096801647924867e-05,0.0001639541630987,0.0001196621171276,4.782867672245052,4.755288858285652,5.393619954482611,5.370708081013908
2016-05-12,1271.2,1.3907290917509e-06,1.1403604621144396e-05,0.0001656909162177,0.0001199394656807,4.820594375021652,4.782867672245052,5.410607985349752,5.393619954482611
2016-05-13,1272.7,1.3874547338845117e-06,1.3907290917509e-06,0.0001087665226604,0.0001154179360804,4.791202712937532,4.820594375021652,5.380287992935072,5.410607985349752
2016-05-16,1274.2,4.480565994439277e-06,1.3874547338845117e-06,1.743445638982899e-05,0.0001013721218768,4.783910608558347,4.791202712937532,5.371510079063018,5.380287992935072
