"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"05/27/2024,""2.780"",""2.747"",""2.853"",""2.742"","""",""1.16%"""
"05/26/2024,""2.748"",""2.747"",""2.760"",""2.732"","""",""-0.90%"""
"05/24/2024,""2.773"",""2.938"",""2.965"",""2.759"",""165.96K"",""-5.13%"""
"05/23/2024,""2.923"",""3.004"",""3.161"",""2.896"",""274.51K"",""-4.23%"""
"05/22/2024,""3.052"",""2.834"",""3.060"",""2.786"",""213.50K"",""7.50%"""
"05/21/2024,""2.839"",""2.891"",""2.945"",""2.802"",""156.13K"",""-2.14%"""
"05/20/2024,""2.901"",""2.815"",""2.905"",""2.785"",""172.08K"",""4.02%"""
"05/17/2024,""2.789"",""2.681"",""2.809"",""2.673"",""146.53K"",""3.80%"""
"05/16/2024,""2.687"",""2.622"",""2.753"",""2.609"",""152.35K"",""2.13%"""
"05/15/2024,""2.631"",""2.559"",""2.637"",""2.542"",""129.40K"",""2.81%"""
"05/14/2024,""2.559"",""2.576"",""2.610"",""2.520"",""104.01K"",""-1.08%"""
"05/13/2024,""2.587"",""2.477"",""2.590"",""2.447"",""119.01K"",""4.15%"""
"05/10/2024,""2.484"",""2.539"",""2.567"",""2.473"",""119.37K"",""-2.09%"""
"05/09/2024,""2.537"",""2.470"",""2.561"",""2.438"",""160.91K"",""2.55%"""
"05/08/2024,""2.474"",""2.479"",""2.533"",""2.450"",""111.54K"",""0.12%"""
"05/07/2024,""2.471"",""2.476"",""2.493"",""2.423"",""92.67K"",""0.32%"""
"05/06/2024,""2.463"",""2.439"",""2.521"",""2.396"",""100.91K"",""1.95%"""
"05/03/2024,""2.416"",""2.333"",""2.430"",""2.305"",""104.78K"",""3.65%"""
"05/02/2024,""2.331"",""2.263"",""2.344"",""2.261"",""70.43K"",""2.87%"""
"05/01/2024,""2.266"",""2.285"",""2.300"",""2.255"",""74.76K"",""-2.29%"""
"04/30/2024,""2.319"",""2.394"",""2.420"",""2.287"",""80.03K"",""-2.28%"""
"04/29/2024,""2.373"",""2.282"",""2.391"",""2.279"",""80.44K"",""23.40%"""
"04/26/2024,""1.923"",""1.977"",""2.002"",""1.909"",""119.52K"",""-3.17%"""
"04/25/2024,""1.986"",""1.969"",""1.993"",""1.926"",""158.31K"",""0.35%"""
"04/24/2024,""1.979"",""2.128"",""2.133"",""1.960"",""182.16K"",""-5.49%"""
"04/23/2024,""2.094"",""2.070"",""2.140"",""2.018"",""150.38K"",""1.40%"""
"04/22/2024,""2.065"",""1.988"",""2.072"",""1.961"",""116.22K"",""3.87%"""
"04/19/2024,""1.988"",""1.974"",""2.029"",""1.951"",""112.54K"",""0.10%"""
"04/18/2024,""1.986"",""1.971"",""2.004"",""1.964"",""106.14K"",""1.22%"""
"04/17/2024,""1.962"",""1.940"",""1.976"",""1.914"",""97.83K"",""-1.31%"""
"04/16/2024,""1.988"",""1.946"",""2.046"",""1.907"",""133.97K"",""2.16%"""
"04/15/2024,""1.946"",""2.035"",""2.052"",""1.931"",""105.81K"",""-4.09%"""
"04/12/2024,""2.029"",""2.005"",""2.043"",""1.973"",""94.17K"",""1.45%"""
"04/11/2024,""2.000"",""2.061"",""2.074"",""1.992"",""120.91K"",""-3.57%"""
"04/10/2024,""2.074"",""2.085"",""2.118"",""2.054"",""86.43K"",""0.48%"""
"04/09/2024,""2.064"",""2.046"",""2.110"",""2.037"",""109.83K"",""0.63%"""
"04/08/2024,""2.051"",""1.996"",""2.057"",""1.975"",""96.95K"",""2.04%"""
"04/05/2024,""2.010"",""2.001"",""2.036"",""1.972"",""75.18K"",""0.65%"""
"04/04/2024,""1.997"",""2.068"",""2.074"",""1.992"",""93.95K"",""-3.39%"""
"04/03/2024,""2.067"",""2.093"",""2.136"",""2.060"",""56.65K"",""-1.81%"""
"04/02/2024,""2.105"",""2.075"",""2.115"",""2.018"",""66.68K"",""1.49%"""
"04/01/2024,""2.074"",""1.999"",""2.088"",""1.958"",""67.72K"",""3.86%"""
"03/28/2024,""1.997"",""1.954"",""2.017"",""1.928"",""45.87K"",""2.25%"""
"03/27/2024,""1.953"",""2.012"",""2.014"",""1.943"",""47.25K"",""9.23%"""
"03/26/2024,""1.788"",""1.805"",""1.830"",""1.775"",""123.17K"",""-0.06%"""
"03/25/2024,""1.789"",""1.817"",""1.825"",""1.758"",""147.53K"",""-1.27%"""
"03/22/2024,""1.812"",""1.838"",""1.859"",""1.791"",""105.07K"",""-1.04%"""
"03/21/2024,""1.831"",""1.839"",""1.855"",""1.797"",""143.83K"",""-0.76%"""
"03/20/2024,""1.845"",""1.882"",""1.900"",""1.824"",""136.83K"",""-1.65%"""
"03/19/2024,""1.876"",""1.844"",""1.890"",""1.832"",""122.80K"",""2.35%"""
"03/18/2024,""1.833"",""1.824"",""1.884"",""1.801"",""118.33K"",""2.46%"""
"03/15/2024,""1.789"",""1.875"",""1.893"",""1.781"",""137.15K"",""-3.92%"""
"03/14/2024,""1.862"",""1.791"",""1.884"",""1.761"",""136.51K"",""4.37%"""
"03/13/2024,""1.784"",""1.822"",""1.833"",""1.766"",""157.54K"",""-2.14%"""
"03/12/2024,""1.823"",""1.855"",""1.921"",""1.800"",""169.86K"",""-2.09%"""
"03/11/2024,""1.862"",""1.920"",""1.961"",""1.852"",""137.93K"",""-3.17%"""
"03/08/2024,""1.923"",""1.942"",""1.955"",""1.896"",""131.96K"",""-1.49%"""
"03/07/2024,""1.952"",""2.075"",""2.087"",""1.926"",""142.91K"",""-5.79%"""
"03/06/2024,""2.072"",""2.088"",""2.115"",""2.061"",""72.08K"",""-1.10%"""
"03/05/2024,""2.095"",""2.076"",""2.152"",""2.039"",""82.94K"",""1.06%"""
"03/04/2024,""2.073"",""2.012"",""2.132"",""2.011"",""116.37K"",""4.96%"""
"03/01/2024,""1.975"",""1.993"",""2.021"",""1.948"",""65.21K"",""-1.64%"""
"02/29/2024,""2.008"",""2.044"",""2.064"",""1.988"",""97.38K"",""-2.14%"""
"02/28/2024,""2.052"",""1.965"",""2.071"",""1.940"",""87.15K"",""13.50%"""
"02/27/2024,""1.808"",""1.751"",""1.838"",""1.710"",""179.94K"",""3.67%"""
"02/26/2024,""1.744"",""1.750"",""1.834"",""1.716"",""235.21K"",""2.65%"""
"02/23/2024,""1.699"",""1.817"",""1.819"",""1.683"",""161.17K"",""-7.26%"""
"02/22/2024,""1.832"",""1.863"",""1.868"",""1.752"",""183.31K"",""-1.66%"""
"02/21/2024,""1.863"",""1.792"",""1.877"",""1.749"",""233.77K"",""13.18%"""
