Date,fatal,log_fatal,log_fatal_ewma_94
1998-09-27,0.0,0.0,0.06307063625120814
1998-09-28,0.0,0.0,0.059286398076135643
1998-09-29,0.0,0.0,0.055729214191567504
1998-09-30,0.0,0.0,0.05238546134007345
1998-10-01,0.0,0.0,0.04924233365966904
1998-10-02,0.0,0.0,0.0462877936400889
1998-10-03,0.0,0.0,0.043510526021683565
1998-10-04,2.0,1.0986122886681098,0.10681663178046921
1998-10-05,0.0,0.0,0.10040763387364106
1998-10-06,0.0,0.0,0.09438317584122259
1998-10-07,0.0,0.0,0.08872018529074924
1998-10-08,0.0,0.0,0.08339697417330427
1998-10-09,0.0,0.0,0.078393155722906
1998-10-10,0.0,0.0,0.07368956637953164
1998-10-11,0.0,0.0,0.06926819239675974
1998-10-12,0.0,0.0,0.06511210085295416
1998-10-13,0.0,0.0,0.0612053748017769
1998-10-14,0.0,0.0,0.057533052313670285
1998-10-15,0.0,0.0,0.05408106917485007
1998-10-16,0.0,0.0,0.05083620502435906
1998-10-17,0.0,0.0,0.04778603272289751
1998-10-18,0.0,0.0,0.04491887075952366
1998-10-19,0.0,0.0,0.04222373851395224
1998-10-20,0.0,0.0,0.039690314203115105
1998-10-21,0.0,0.0,0.0373088953509282
1998-10-22,0.0,0.0,0.0350703616298725
1998-10-23,0.0,0.0,0.03296613993208015
1998-10-24,0.0,0.0,0.030988171536155337
1998-10-25,0.0,0.0,0.029128881243986014
1998-10-26,0.0,0.0,0.027381148369346853
1998-10-27,0.0,0.0,0.02573827946718604
1998-10-28,0.0,0.0,0.024193982699154876
1998-10-29,0.0,0.0,0.022742343737205583
1998-10-30,0.0,0.0,0.021377803112973246
1998-10-31,0.0,0.0,0.02009513492619485
1998-11-01,0.0,0.0,0.018889426830623158
1998-11-02,0.0,0.0,0.017756061220785768
1998-11-03,0.0,0.0,0.01669069754753862
1998-11-04,0.0,0.0,0.0156892556946863
1998-11-05,4.0,1.6094379124341003,0.11131417509905123
1998-11-06,0.0,0.0,0.10463532459310815
