Date,Price,Open,Vol.,Change %,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
2000-07-10,4.228,4.19,25680.0,-0.8,-0.008009465668434159,6.415154029382546e-05,0.001970388454770841,0.002042673020742988
2000-07-11,4.257,4.216,28740.0,0.69,0.006835618838024125,4.672568489875029e-05,0.001951356389035514,0.0017181646566802175
2000-07-12,4.031,4.24,53400.0,-5.31,-0.054550202710986526,0.0029757246158097217,0.0010827373714289786,0.0017549099104140992
2000-07-13,4.166,4.01,35320.0,3.35,0.0329418587037517,0.0010851660548579416,0.0012776366088833827,0.001802308361234501
2000-07-14,4.15,4.16,25650.0,-0.38,-0.003848008596173329,1.4807170156223834e-05,0.0008373150132032905,0.0017959669142818496
2000-07-17,4.002,4.135,26840.0,-3.57,-0.036314098081065435,0.0013187137194412403,0.0010882274490327734,0.001848340362603755
2000-07-18,4.044,3.98,37180.0,1.05,0.010440064996683204,0.00010899495713496987,0.0011006813034800174,0.0018286272589728618
2000-07-19,3.884,4.035,36780.0,-3.96,-0.040368750729146384,0.0016296360354319567,0.0008314635874044643,0.0018001817939414474
2000-07-20,3.86,3.87,31880.0,-0.62,-0.006198366952339019,3.8419752875848496e-05,0.0006221143270080459,0.0018005098190126772
2000-07-21,3.834,3.855,26270.0,-0.67,-0.00675853885328672,4.567784743138617e-05,0.0006282884624630782,0.0013527054075089346
2000-07-24,3.715,3.75,27890.0,-3.1,-0.03152996645373031,0.0009941387845733586,0.000563373475489502,0.0013926199369653563
2000-07-25,3.66,3.705,34040.0,-1.48,-0.014915530756447519,0.0002224730577465319,0.0005860690956118143,0.0012171367497704993
2000-07-26,3.763,3.66,58600.0,2.81,0.027753364198025342,0.0007702492243082348,0.00041419173338706994,0.0011838776579312573
2000-07-27,3.82,3.763,55140.0,1.51,0.01503391100718362,0.00022601848017191683,0.0004517114788462836,0.0011703301594471463
2000-07-28,3.845,3.855,28840.0,0.65,0.006523180339123476,4.255188173672706e-05,0.00045108628570735183,0.001144154302465702
2000-07-31,3.774,3.8,17940.0,-1.85,-0.01863815601124882,0.00034738085949965054,0.0003217347006926101,0.001126174859825026
2000-08-01,3.987,3.77,38480.0,5.64,0.054903621452859555,0.0030144076486389,0.0008801216188710837,0.0010401784502890974
2000-08-02,4.214,3.999,40510.0,5.69,0.05537324698277929,0.0030661964814158757,0.001339311070292612,0.0011726920240901567
2000-08-03,4.25,4.22,29360.0,0.85,0.008506667554328006,7.236339287985682e-05,0.0013085800528342,0.0011695319049676326
2000-08-04,4.296,4.24,33870.0,1.08,0.010765374270238073,0.00011589328317830391,0.0013232483331225152,0.0008421261585738103
2000-08-07,4.348,4.38,25600.0,1.21,0.012031612052399407,0.00014475968857944265,0.0012827240989384738,0.0008436756958916977
2000-08-08,4.409,4.33,23690.0,1.4,0.01393193711683758,0.00019409887182751662,0.000718662343576197,0.0007517522287676444
2000-08-09,4.419,4.44,34590.0,0.23,0.0022655197728023023,5.132579840958195e-06,0.00010644956326121356,0.0007490695487470596
2000-08-10,4.468,4.45,31620.0,1.11,0.011027455058351478,0.0001216047650639616,0.0001162978376980345,0.0007524731433000237
2000-08-11,4.475,4.475,17130.0,0.16,0.0015654705198643222,2.450697948564271e-06,9.360932065208659e-05,0.0006173243288517895
2000-08-14,4.318,4.435,28950.0,-3.51,-0.03571401963420306,0.0012754911984322415,0.0003197556226226464,0.0006259754717415304
2000-08-15,4.234,4.333,25060.0,-1.95,-0.019645159379942056,0.00038593228706332533,0.0003581223056698081,0.0006428447952373076
2000-08-16,4.413,4.22,34490.0,4.23,0.04140755757473679,0.0017145858243051422,0.0007000129545626449,0.0006608389818220304
